ae train,ae test,ae mel,ae perc,ae kld,beta,lr
1.8832817,1.8851844,0.10464571,0.5989049,1.4083602,0.08833333333333335,3.1554496000000007e-06
1.8874927,1.8919538,0.10497954,0.5996882,1.398038,0.09000000000000001,3.1554496000000007e-06
1.891935,1.8951946,0.10532104,0.60056514,1.3878505,0.09166666666666666,3.1554496000000007e-06
1.8967236,1.8969012,0.105666235,0.6015704,1.3782004,0.09333333333333334,3.1554496000000007e-06
1.9009668,1.9003423,0.10600338,0.60238653,1.3683362,0.095,3.1554496000000007e-06
1.9052835,1.9038824,0.10634744,0.60323346,1.358598,0.09666666666666668,3.1554496000000007e-06
1.9094455,1.9137146,0.10666859,0.60403967,1.3492343,0.09833333333333334,3.1554496000000007e-06
1.913737,1.9133499,0.10702524,0.60486734,1.3400565,0.1,3.1554496000000007e-06
1.9140809,1.9198593,0.10707358,0.60501796,1.3385196,0.1,3.1554496000000007e-06
1.9140866,1.9129359,0.107100345,0.6050487,1.3371408,0.1,3.1554496000000007e-06
1.9141594,1.9214755,0.1070963,0.6051303,1.3359269,0.1,3.1554496000000007e-06
1.9143119,1.9175211,0.107131414,0.6051911,1.3350563,0.1,3.1554496000000007e-06
1.9141766,1.9162433,0.10714439,0.6051619,1.3341073,0.1,3.1554496000000007e-06
1.9142698,1.9143252,0.10715665,0.6052126,1.3334665,0.1,3.1554496000000007e-06
1.9138682,1.9111673,0.10714363,0.6051119,1.3322937,0.1,3.1554496000000007e-06
1.9143116,1.920104,0.10717805,0.6052811,1.331637,0.1,3.1554496000000007e-06
1.9140358,1.9144952,0.10718083,0.60519016,1.3310823,0.1,3.1554496000000007e-06
1.9136735,1.9151688,0.10717448,0.60509413,1.330023,0.1,3.1554496000000007e-06
1.9139968,1.9197106,0.10718158,0.605243,1.3293545,0.1,3.1554496000000007e-06
1.913926,1.9202054,0.10720799,0.6051962,1.3291564,0.1,3.1554496000000007e-06
1.9135715,1.918485,0.107209444,0.60509175,1.3281838,0.1,3.1554496000000007e-06
1.9140537,1.9142777,0.107211016,0.60530776,1.327568,0.1,3.1554496000000007e-06
1.9137796,1.9182355,0.10721175,0.60522217,1.3269495,0.1,3.1554496000000007e-06
1.9137386,1.9121811,0.10721897,0.6052164,1.3265038,0.1,3.1554496000000007e-06
1.9134037,1.9164697,0.107214294,0.6051124,1.3258717,0.1,3.1554496000000007e-06
1.9138207,1.9219995,0.107223004,0.605289,1.3254071,0.1,3.1554496000000007e-06
1.913772,1.9096197,0.107231304,0.6052776,1.324999,0.1,3.1554496000000007e-06
1.6342098,1.62019,0.09076847,0.5629155,2.6488194,0.0,9.971220736000003e-07
1.613004,1.6119031,0.08828431,0.55691725,3.3471024,0.0,9.971220736000003e-07
1.6077323,1.6086506,0.08776893,0.55532396,3.6657405,0.0,9.971220736000003e-07
1.6046697,1.6070477,0.08747671,0.5543912,3.8929768,0.0,9.971220736000003e-07
1.6024599,1.6052752,0.08728106,0.5537029,4.080166,0.0,9.971220736000003e-07
1.6009789,1.6041481,0.0871491,0.55324244,4.2442117,0.0,9.971220736000003e-07
1.5997068,1.6024578,0.08704248,0.55284023,4.3926606,0.0,9.971220736000003e-07
1.5984108,1.6034571,0.08694177,0.5524226,4.5348516,0.0,9.971220736000003e-07
1.5979129,1.6005224,0.08688471,0.5522805,4.672654,0.0,9.971220736000003e-07
1.5969497,1.6005503,0.08682939,0.5519506,4.807844,0.0,9.971220736000003e-07
1.5965363,1.5940824,0.08678646,0.551828,4.943668,0.0,9.971220736000003e-07
1.5958833,1.602243,0.08673764,0.5516157,5.0815706,0.0,9.971220736000003e-07
1.595278,1.5974592,0.08668435,0.5514268,5.222049,0.0,9.971220736000003e-07
1.5949535,1.5980595,0.08666444,0.551317,5.3651495,0.0,9.971220736000003e-07
1.5946102,1.5941244,0.086622216,0.5512219,5.510252,0.0,9.971220736000003e-07
1.594085,1.5977812,0.08659416,0.5510398,5.658711,0.0,9.971220736000003e-07
1.5936729,1.5949967,0.08656214,0.55090696,5.808041,0.0,9.971220736000003e-07
1.5933963,1.5971718,0.086540565,0.5508179,5.9575467,0.0,9.971220736000003e-07
1.5931784,1.5937748,0.08651564,0.5507557,6.109608,0.0,9.971220736000003e-07
1.5930389,1.5981854,0.08649743,0.5507181,6.260505,0.0,9.971220736000003e-07
1.5927372,1.596549,0.08647284,0.55062205,6.409195,0.0,9.971220736000003e-07
1.6012393,1.6023521,0.08654045,0.5506458,4.9641495,0.0016666666666666668,9.971220736000003e-07
1.6077535,1.6128432,0.086957574,0.5516933,3.3378417,0.0033333333333333335,9.971220736000003e-07
1.6153553,1.6208303,0.08737628,0.55291826,2.9237993,0.005000000000000001,9.971220736000003e-07
1.621936,1.6271658,0.087710656,0.55373603,2.7478747,0.006666666666666667,9.971220736000003e-07
1.6289176,1.6302922,0.08804888,0.55477124,2.6240852,0.008333333333333333,9.971220736000003e-07
1.6351546,1.640579,0.08837468,0.5555766,2.5276275,0.010000000000000002,9.971220736000003e-07
1.6413832,1.6443276,0.08868571,0.55644745,2.447164,0.011666666666666667,9.971220736000003e-07
1.6477464,1.6511096,0.089028545,0.5573827,2.3788667,0.013333333333333334,9.971220736000003e-07
1.6538413,1.6571853,0.08935455,0.55827224,2.3182833,0.015000000000000001,9.971220736000003e-07
1.6596904,1.6656021,0.08968502,0.5590942,2.2645435,0.016666666666666666,9.971220736000003e-07
1.6656911,1.6687454,0.09000711,0.5600192,2.2159328,0.018333333333333333,9.971220736000003e-07
1.6714628,1.6718533,0.090342015,0.56087065,2.1715584,0.020000000000000004,9.971220736000003e-07
1.6769339,1.6807376,0.090660326,0.5616497,2.130413,0.021666666666666667,9.971220736000003e-07
1.6828651,1.6910946,0.09100179,0.56261164,2.0927694,0.023333333333333334,9.971220736000003e-07
1.6887888,1.690304,0.09132616,0.5636148,2.0574493,0.025,9.971220736000003e-07
