ae train,ae test,ae mel,ae perc,ae kld,beta,lr
2.0169086,2.0218916,0.07840493,0.6716691,1.4172357,0.1,3.1554496000000007e-06
2.018075,2.0169737,0.07843109,0.672182,1.4154251,0.1,3.1554496000000007e-06
2.01731,2.014998,0.07844704,0.67192554,1.4137853,0.1,3.1554496000000007e-06
2.0178847,2.0195038,0.078481674,0.6721766,1.4123911,0.1,3.1554496000000007e-06
2.017388,2.01861,0.07849743,0.67201185,1.41115,0.1,3.1554496000000007e-06
2.0171928,2.020357,0.07850524,0.67198354,1.4097078,0.1,3.1554496000000007e-06
2.0176125,2.0152943,0.07860211,0.6720788,1.4091026,0.1,3.1554496000000007e-06
2.017562,2.020243,0.07855686,0.6721566,1.4077814,0.1,3.1554496000000007e-06
2.0174508,2.0199687,0.078579105,0.6721291,1.4068043,0.1,3.1554496000000007e-06
2.0170898,2.0191247,0.07854374,0.67207557,1.4054171,0.1,3.1554496000000007e-06
2.0170367,2.0178218,0.07855174,0.67208207,1.4045216,0.1,3.1554496000000007e-06
2.0174246,2.0185757,0.07859588,0.67222035,1.4038397,0.1,3.1554496000000007e-06
2.0172687,2.019097,0.0786049,0.67219263,1.402746,0.1,3.1554496000000007e-06
2.0173588,2.0155017,0.07860543,0.6722633,1.4018704,0.1,3.1554496000000007e-06
2.0176306,2.0206828,0.07861665,0.67240536,1.4007547,0.1,3.1554496000000007e-06
2.017025,2.0162601,0.07862258,0.67218137,1.4001527,0.1,3.1554496000000007e-06
2.016621,2.018043,0.07861695,0.6720595,1.3992995,0.1,3.1554496000000007e-06
2.017463,2.018932,0.07862529,0.67241555,1.3986094,0.1,3.1554496000000007e-06
2.016762,2.021117,0.07864296,0.6721477,1.3978531,0.1,3.1554496000000007e-06
2.0166383,2.0180633,0.078611284,0.67217624,1.3966917,0.1,3.1554496000000007e-06
1.76757,1.7556641,0.06292259,0.6441054,2.5766976,0.0,9.971220736000003e-07
1.7492684,1.7467544,0.06029376,0.63941365,3.2131295,0.0,9.971220736000003e-07
1.7442389,1.7434692,0.05966181,0.63803375,3.5064762,0.0,9.971220736000003e-07
1.7416297,1.7414919,0.059327383,0.6373245,3.7156813,0.0,9.971220736000003e-07
1.7393597,1.7387372,0.059093975,0.6366499,3.8843086,0.0,9.971220736000003e-07
1.7379819,1.7407019,0.058933284,0.6362594,4.0360904,0.0,9.971220736000003e-07
1.7359008,1.7387369,0.058717404,0.6356429,4.1759815,0.0,9.971220736000003e-07
1.735015,1.7346917,0.058634557,0.6353715,4.304963,0.0,9.971220736000003e-07
1.7332217,1.7341846,0.058469497,0.6348192,4.4339695,0.0,9.971220736000003e-07
1.7325702,1.734003,0.058381885,0.6346462,4.55862,0.0,9.971220736000003e-07
1.7325032,1.7317047,0.058322314,0.6346789,4.684138,0.0,9.971220736000003e-07
1.731246,1.7311243,0.058200147,0.63429826,4.8103695,0.0,9.971220736000003e-07
1.730897,1.7315301,0.058162715,0.6341961,4.937762,0.0,9.971220736000003e-07
1.7299618,1.7320603,0.058109153,0.6338754,5.0676455,0.0,9.971220736000003e-07
1.7292421,1.7300003,0.05802661,0.6336703,5.199809,0.0,9.971220736000003e-07
1.7285434,1.7297351,0.057960823,0.6334565,5.334947,0.0,9.971220736000003e-07
1.7283882,1.7324058,0.05792068,0.6334345,5.4700007,0.0,9.971220736000003e-07
1.7283411,1.7312653,0.057930738,0.6334057,5.6057887,0.0,9.971220736000003e-07
1.728254,1.7301745,0.057857774,0.6334438,5.7438717,0.0,9.971220736000003e-07
1.728135,1.729371,0.05790628,0.6333477,5.8786325,0.0,9.971220736000003e-07
1.7269987,1.7279174,0.057782363,0.6330171,6.0192533,0.0,9.971220736000003e-07
1.7359304,1.7348053,0.05782265,0.6331757,5.0607796,0.0016666666666666668,9.971220736000003e-07
1.741438,1.7441965,0.05812409,0.63353527,3.686861,0.0033333333333333335,9.971220736000003e-07
1.7472054,1.7475723,0.058532335,0.6341435,3.10319,0.005000000000000001,9.971220736000003e-07
1.7535348,1.7558001,0.058930088,0.63485116,2.8622696,0.006666666666666667,9.971220736000003e-07
1.7581549,1.7601074,0.059255347,0.63494354,2.7189183,0.008333333333333333,9.971220736000003e-07
1.7645147,1.7655053,0.05958186,0.63576525,2.6146808,0.010000000000000002,9.971220736000003e-07
1.7699772,1.7703089,0.05990596,0.63627046,2.531662,0.011666666666666667,9.971220736000003e-07
1.7758889,1.7758679,0.060271204,0.63695735,2.4613175,0.013333333333333334,9.971220736000003e-07
1.7812473,1.7860882,0.060603503,0.6374941,2.4002233,0.015000000000000001,9.971220736000003e-07
1.7862742,1.7886633,0.0608924,0.63797903,2.3457282,0.016666666666666666,9.971220736000003e-07
1.792555,1.7926596,0.06125171,0.63892466,2.297131,0.018333333333333333,9.971220736000003e-07
1.797066,1.799588,0.06154091,0.63926506,2.2525563,0.020000000000000004,9.971220736000003e-07
1.8022954,1.8049009,0.061895497,0.6398569,2.211439,0.021666666666666667,9.971220736000003e-07
1.807206,1.8107581,0.06220869,0.64038575,2.1737192,0.023333333333333334,9.971220736000003e-07
1.8123719,1.8150144,0.06252797,0.641037,2.1383777,0.025,9.971220736000003e-07
1.8174251,1.8200122,0.06286507,0.6416492,2.1052308,0.02666666666666667,9.971220736000003e-07
1.8222135,1.8241624,0.063185,0.64219326,2.0741687,0.028333333333333335,9.971220736000003e-07
1.8266602,1.8291895,0.0635209,0.6426019,2.0451038,0.030000000000000002,9.971220736000003e-07
1.8324089,1.8341473,0.06385941,0.64355475,2.0170581,0.03166666666666667,9.971220736000003e-07
1.8365208,1.8402603,0.06418147,0.64388293,1.9907869,0.03333333333333333,9.971220736000003e-07
1.8423393,1.8433503,0.064536,0.6448808,1.9656345,0.035,9.971220736000003e-07
1.8472965,1.8457999,0.06487812,0.64556146,1.9417497,0.03666666666666667,9.971220736000003e-07
1.8516135,1.855127,0.06518698,0.6460361,1.918842,0.03833333333333334,9.971220736000003e-07
1.8561364,1.8573468,0.06553413,0.64657116,1.8968309,0.04000000000000001,9.971220736000003e-07
1.8605205,1.8644061,0.065855555,0.647091,1.8757015,0.041666666666666664,9.971220736000003e-07
1.865752,1.867416,0.066219196,0.6479226,1.8553287,0.043333333333333335,9.971220736000003e-07
1.8702394,1.8730078,0.06651333,0.6485363,1.8358958,0.045000000000000005,9.971220736000003e-07
1.8747392,1.8778983,0.06686587,0.649108,1.8172352,0.04666666666666667,9.971220736000003e-07
1.8786671,1.883306,0.06718664,0.64950037,1.7989573,0.04833333333333334,9.971220736000003e-07
1.8841705,1.8840095,0.06750005,0.6505092,1.7829528,0.05,3.150905752576001e-07
1.888231,1.8907968,0.06783244,0.65094113,1.7670401,0.051666666666666666,3.150905752576001e-07
1.8927752,1.8939731,0.068117686,0.65163416,1.7511666,0.05333333333333334,3.150905752576001e-07
1.8973814,1.8974017,0.06846985,0.652294,1.7358513,0.05500000000000001,3.150905752576001e-07
1.901868,1.9038757,0.06877248,0.6529649,1.7210222,0.05666666666666667,3.150905752576001e-07
1.9062542,1.908762,0.069125615,0.65356106,1.7063551,0.058333333333333334,3.150905752576001e-07
1.9104507,1.9113815,0.069431536,0.6541316,1.6923801,0.060000000000000005,3.150905752576001e-07
1.9146938,1.917242,0.06977146,0.6546973,1.6787348,0.06166666666666667,3.150905752576001e-07
1.9191375,1.9196103,0.07007854,0.65538925,1.665285,0.06333333333333334,3.150905752576001e-07
1.9232954,1.9245951,0.07040372,0.65595835,1.6521559,0.065,3.150905752576001e-07
1.9273319,1.92895,0.07072938,0.6564896,1.6392652,0.06666666666666667,3.150905752576001e-07
1.932321,1.9329166,0.07107994,0.65737796,1.626966,0.06833333333333334,3.150905752576001e-07
1.935848,1.93802,0.07138592,0.6577397,1.6147715,0.07,3.150905752576001e-07
1.9408427,1.9438348,0.07176149,0.65861076,1.6034281,0.07166666666666667,3.150905752576001e-07
1.9447062,1.9478805,0.07205423,0.65914416,1.5914998,0.07333333333333333,3.150905752576001e-07
1.9487826,1.9517072,0.07239708,0.65971035,1.5801858,0.075,3.150905752576001e-07
1.9537144,1.9544871,0.07271741,0.66065025,1.5690674,0.07666666666666667,3.150905752576001e-07
